,CustomerID,Recency,Frequency,Monetary,R,F,M
1207,13971.0,8,11,2702.22,4,4,4
4230,18097.0,7,7,2692.85,4,4,4
1308,14107.0,51,8,2688.48,2,4,4
3709,17386.0,7,6,2686.42,4,4,4
1767,14732.0,8,10,2686.34,4,4,4
2555,15796.0,1,10,2666.61,4,4,4
1754,14713.0,9,12,2664.26,4,4,4
13,12360.0,52,3,2662.06,2,2,4
1546,14439.0,319,1,2661.24,1,1,4
3489,17069.0,28,13,2655.22,3,4,4
1121,13851.0,95,3,2651.46,2,2,4
2201,15321.0,49,4,2650.73,3,3,4
2482,15696.0,33,12,2644.46,3,4,4
1084,13804.0,30,7,2635.79,3,4,4
2464,15671.0,18,10,2635.49,3,4,4
3720,17402.0,4,13,2633.85,4,4,4
4214,18077.0,8,11,2633.01,4,4,4
1064,13771.0,64,5,2631.7,2,3,4
3155,16618.0,31,6,2630.64,3,4,4
309,12721.0,31,7,2628.98,3,4,4
2524,15752.0,39,8,2628.93,3,4,4
4137,17965.0,37,14,2622.57,3,4,4
4312,18210.0,1,6,2621.38,4,4,4
1423,14262.0,8,8,2618.23,4,4,4
297,12708.0,29,16,2616.32,3,4,4
230,12625.0,211,3,2614.32,1,2,4
390,12836.0,59,4,2612.86,2,3,4
3676,17346.0,3,16,2611.58,4,4,4
2894,16255.0,16,10,2609.3,4,4,4
314,12726.0,28,7,2609.1,3,4,4
2883,16241.0,9,13,2607.87,4,4,4
1521,14408.0,10,7,2606.53,4,4,4
813,13422.0,51,2,2601.55,2,2,4
971,13644.0,8,5,2597.52,4,3,4
3381,16919.0,156,11,2596.45,1,4,4
4353,18260.0,172,8,2595.0,1,4,4
2545,15782.0,9,4,2593.94,4,3,4
1217,13983.0,29,13,2590.46,3,4,4
1157,13895.0,21,5,2588.12,3,3,4
522,13021.0,4,12,2584.4,4,4,4
141,12520.0,79,6,2582.51,2,4,4
207,12600.0,28,11,2581.04,3,4,4
1165,13911.0,57,9,2580.91,2,4,4
2321,15485.0,30,3,2575.0,3,2,4
2347,15521.0,36,13,2574.65,3,4,4
3909,17655.0,10,8,2571.74,4,4,4
1975,15033.0,4,11,2571.02,4,4,4
2926,16308.0,37,4,2560.0,3,3,4
1514,14397.0,0,23,2556.68,4,4,4
2387,15572.0,4,7,2552.86,4,4,4
604,13136.0,50,11,2545.38,3,4,4
759,13344.0,67,3,2543.72,2,2,4
1726,14676.0,31,8,2543.24,3,4,4
1470,14334.0,16,9,2539.46,4,4,4
1146,13883.0,1,9,2538.75,4,4,4
4213,18075.0,23,14,2538.72,3,4,4
1411,14243.0,8,14,2535.88,4,4,4
845,13471.0,1,4,2531.58,4,3,4
3374,16912.0,23,14,2528.67,3,4,4
3657,17317.0,46,5,2524.02,3,3,4
2143,15245.0,134,3,2515.84,2,2,4
3967,17728.0,3,5,2515.68,4,3,4
3655,17314.0,24,11,2514.76,3,4,4
3944,17700.0,16,6,2508.89,4,4,4
4342,18245.0,7,8,2507.56,4,4,4
3757,17449.0,2,8,2504.86,4,4,4
1006,13695.0,31,15,2504.13,3,4,4
1211,13975.0,31,7,2503.23,3,4,4
3057,16477.0,63,7,2494.46,2,4,4
1632,14546.0,4,9,2487.02,4,4,4
1744,14701.0,10,12,2486.22,4,4,4
2165,15271.0,7,16,2485.82,4,4,4
444,12913.0,4,5,2483.63,4,3,4
3219,16710.0,19,10,2483.04,3,4,4
876,13507.0,3,4,2479.16,4,3,4
90,12455.0,73,6,2466.86,2,4,4
3554,17164.0,32,8,2466.4,3,4,4
138,12517.0,28,6,2464.89,3,4,4
3532,17131.0,5,5,2463.17,4,3,4
1072,13784.0,9,11,2462.79,4,4,4
2652,15932.0,4,11,2461.85,4,4,4
3931,17682.0,10,7,2459.33,4,4,4
1459,14315.0,21,7,2456.98,3,4,4
1843,14842.0,35,8,2456.8,3,4,4
1713,14659.0,8,12,2456.53,4,4,4
2523,15750.0,2,9,2451.23,4,4,4
1351,14163.0,87,4,2445.91,2,3,4
933,13588.0,15,13,2445.12,4,4,4
1192,13949.0,2,6,2427.32,4,4,4
1792,14766.0,8,8,2423.07,4,4,4
2413,15606.0,57,11,2422.64,2,4,4
982,13658.0,9,7,2421.47,4,4,4
2019,15089.0,10,6,2420.84,4,4,4
2807,16143.0,3,7,2419.84,4,4,4
40,12397.0,35,2,2409.9,3,2,4
3859,17589.0,60,4,2404.17,2,3,4
2684,15980.0,88,3,2398.86,2,2,4
609,13141.0,84,6,2385.8,2,4,4
3491,17071.0,8,14,2385.48,4,4,4
3818,17530.0,1,10,2385.0,4,4,4
1640,14554.0,10,4,2381.04,4,3,4
3962,17722.0,96,6,2380.64,2,4,4
4204,18065.0,5,15,2380.08,4,4,4
1906,14930.0,108,3,2372.86,2,2,4
1027,13722.0,120,4,2369.16,2,3,4
1587,14493.0,7,7,2362.84,4,4,4
3892,17634.0,36,9,2361.97,3,4,4
2237,15370.0,40,8,2360.55,3,4,4
1250,14030.0,18,8,2360.09,3,4,4
1547,14440.0,8,5,2357.68,4,3,4
1596,14502.0,19,14,2351.02,3,4,4
2063,15140.0,52,8,2350.0,2,4,4
2353,15527.0,18,10,2348.82,3,4,4
1164,13908.0,79,5,2347.05,2,3,4
4352,18259.0,24,3,2338.6,3,2,4
3747,17434.0,2,9,2333.42,4,4,4
111,12483.0,17,13,2327.13,3,4,4
1407,14239.0,43,13,2323.5,3,4,4
1455,14309.0,8,10,2319.68,4,4,4
2527,15755.0,1,8,2318.88,4,4,4
1227,13994.0,3,6,2313.14,4,4,4
794,13394.0,1,10,2312.8,4,4,4
4040,17838.0,26,6,2312.7,3,4,4
1441,14290.0,11,6,2307.45,4,4,4
2176,15288.0,43,5,2306.52,3,3,4
2547,15785.0,29,8,2303.75,3,4,4
3583,17211.0,26,9,2299.67,3,4,4
2033,15105.0,18,7,2298.93,3,4,4
2164,15270.0,15,9,2298.2,4,4,4
4128,17954.0,5,16,2295.37,4,4,4
1011,13704.0,5,10,2295.31,4,4,4
2487,15704.0,140,4,2293.62,2,3,4
220,12615.0,2,4,2291.19,4,3,4
3979,17744.0,3,7,2291.08,4,4,4
3654,17313.0,17,2,2288.13,3,2,4
279,12684.0,7,7,2283.63,4,4,4
3570,17188.0,11,9,2275.58,4,4,4
352,12782.0,4,6,2273.32,4,4,4
3995,17768.0,8,3,2273.18,4,2,4
1567,14466.0,29,7,2272.4,3,4,4
3241,16735.0,78,7,2269.21,2,4,4
3105,16550.0,108,9,2266.25,2,4,4
4351,18257.0,39,12,2265.38,3,4,4
1009,13700.0,26,10,2265.12,3,4,4
894,13527.0,33,8,2263.76,3,4,4
2859,16209.0,88,5,2262.62,2,3,4
1541,14432.0,9,6,2255.51,4,4,4
2134,15235.0,217,12,2247.51,1,4,4
3272,16771.0,33,5,2246.81,3,3,4
3282,16782.0,10,19,2242.25,4,4,4
2459,15665.0,168,2,2242.01,1,2,4
2173,15281.0,58,12,2239.95,2,4,4
2918,16293.0,8,12,2236.74,4,4,4
1743,14700.0,32,3,2235.3,3,2,4
4341,18242.0,72,4,2232.49,2,3,4
1834,14825.0,3,12,2226.91,4,4,4
294,12704.0,7,10,2220.84,4,4,4
420,12876.0,57,2,2218.02,2,2,4
3861,17591.0,73,8,2215.02,2,4,4
2239,15373.0,8,13,2213.11,4,4,4
3751,17442.0,29,10,2210.26,3,4,4
254,12653.0,148,2,2209.85,1,2,4
1382,14211.0,53,13,2208.3,2,4,4
2556,15797.0,113,4,2207.4,2,3,4
588,13115.0,8,14,2205.63,4,4,4
336,12755.0,249,4,2203.2,1,3,4
1107,13831.0,16,6,2202.99,4,4,4
995,13680.0,1,5,2202.31,4,3,4
1396,14226.0,28,7,2201.64,3,4,4
3941,17696.0,38,14,2201.05,3,4,4
2050,15123.0,7,2,2199.31,4,2,4
1798,14776.0,51,13,2195.58,2,4,4
3246,16743.0,29,8,2191.84,3,4,4
776,13365.0,8,3,2191.22,4,2,4
1128,13862.0,18,10,2187.31,3,4,4
2091,15179.0,18,7,2186.2,3,4,4
2253,15394.0,9,4,2183.54,4,3,4
3164,16628.0,29,6,2183.04,3,4,4
2501,15722.0,35,6,2181.21,3,4,4
1822,14808.0,39,15,2175.37,3,4,4
1643,14560.0,7,24,2174.18,4,4,4
2754,16076.0,3,11,2173.53,4,4,4
2569,15811.0,17,9,2171.32,3,4,4
1476,14341.0,45,9,2166.38,3,4,4
407,12856.0,7,8,2162.68,4,4,4
3041,16456.0,99,5,2158.37,2,3,4
460,12935.0,2,8,2156.45,4,4,4
1053,13755.0,3,10,2154.68,4,4,4
668,13224.0,60,3,2150.85,2,2,4
3416,16966.0,8,10,2148.47,4,4,4
3628,17272.0,42,5,2144.53,3,3,4
236,12633.0,58,5,2140.63,2,3,4
2743,16057.0,4,10,2140.22,4,4,4
738,13317.0,64,9,2140.07,2,4,4
1835,14828.0,196,3,2139.76,1,2,4
2983,16379.0,4,5,2131.9,4,3,4
3719,17400.0,126,5,2129.96,2,3,4
441,12909.0,39,8,2128.83,3,4,4
1492,14360.0,31,4,2128.23,3,3,4
3004,16407.0,12,10,2126.93,4,4,4
1996,15058.0,25,11,2124.99,3,4,4
4201,18061.0,21,10,2119.41,3,4,4
962,13632.0,24,6,2117.02,3,4,4
4167,18008.0,70,9,2116.19,2,4,4
1736,14691.0,30,5,2114.33,3,3,4
1520,14407.0,107,9,2111.08,2,4,4
885,13517.0,59,5,2109.07,2,3,4
699,13265.0,53,5,2107.66,2,3,4
4286,18173.0,86,4,2106.84,2,3,4
1563,14461.0,148,3,2103.06,1,2,4
1607,14515.0,17,6,2102.09,3,4,4
172,12560.0,5,4,2101.39,4,3,4
2573,15815.0,63,5,2100.6,2,3,4
3573,17191.0,28,7,2095.13,3,4,4
4370,18283.0,3,16,2094.88,4,4,4
922,13571.0,12,12,2092.32,4,4,4
722,13297.0,7,4,2089.85,4,3,4
123,12501.0,315,2,2089.68,1,2,4
1823,14810.0,40,11,2087.88,3,4,4
4192,18044.0,4,11,2085.65,4,4,4
3407,16954.0,0,9,2085.08,4,4,4
2586,15834.0,70,6,2084.9,2,4,4
4226,18093.0,93,5,2083.42,2,3,4
1453,14306.0,51,3,2083.42,2,2,4
1739,14696.0,4,9,2070.97,4,4,4
1579,14482.0,18,6,2068.15,3,4,4
1380,14209.0,10,7,2067.13,4,4,4
4332,18231.0,192,6,2066.17,1,4,4
455,12928.0,35,5,2062.7,3,3,4
2912,16281.0,72,1,2062.06,2,1,4
4057,17861.0,3,9,2059.2,4,4,4
4340,18241.0,9,18,2058.09,4,4,4
215,12610.0,22,7,2057.99,3,4,4
139,12518.0,0,5,2056.89,4,3,4
596,13126.0,4,10,2056.29,4,4,4
3917,17667.0,66,5,2055.51,2,3,4
471,12948.0,16,8,2053.7,4,4,4
3503,17086.0,7,6,2050.08,4,4,4
3886,17625.0,18,4,2047.0,3,3,4
3866,17597.0,213,1,2044.37,1,1,4
1400,14232.0,31,8,2043.93,3,4,4
830,13450.0,26,6,2043.72,3,4,4
1697,14640.0,15,8,2042.15,4,4,4
3505,17090.0,4,8,2041.85,4,4,4
4045,17846.0,85,1,2033.1,2,1,4
1231,14001.0,45,4,2030.33,3,3,4
3005,16409.0,36,5,2028.88,3,3,4
2965,16358.0,1,5,2024.95,4,3,4
1631,14544.0,24,2,2024.45,3,2,4
3347,16875.0,64,9,2023.47,2,4,4
4208,18069.0,26,7,2021.82,3,4,4
2213,15341.0,80,1,2020.52,2,1,4
4320,18219.0,2,11,2019.77,4,4,4
1366,14188.0,8,10,2018.91,4,4,4
1600,14506.0,17,5,2012.17,3,3,4
2357,15531.0,8,2,2007.44,4,2,4
2238,15372.0,137,1,2007.4,2,1,4
2769,16098.0,87,7,2005.63,2,4,4
1765,14730.0,1,8,2005.06,4,4,4
3499,17082.0,33,2,2003.85,3,2,4
3256,16754.0,372,1,2002.4,1,1,4
729,13305.0,4,10,2000.86,4,4,4
4297,18188.0,15,4,1998.49,4,3,4
3212,16698.0,226,2,1998.0,1,2,4
960,13630.0,5,11,1995.68,4,4,4
4031,17827.0,5,5,1995.46,4,3,4
3875,17612.0,53,10,1992.76,2,4,4
3929,17679.0,52,2,1992.11,2,2,4
3504,17088.0,28,4,1991.01,3,3,4
938,13593.0,108,6,1990.28,2,4,4
865,13495.0,7,6,1990.12,4,4,4
4119,17940.0,49,14,1983.58,3,4,4
193,12585.0,234,4,1982.81,1,3,4
4309,18204.0,71,4,1979.3,2,3,4
935,13590.0,11,7,1976.12,4,4,4
2326,15493.0,32,7,1967.25,3,4,4
1564,14462.0,63,15,1965.9,2,4,4
4011,17790.0,26,14,1965.55,3,4,4
3588,17218.0,4,10,1960.72,4,4,4
2950,16341.0,24,6,1959.38,3,4,4
1592,14498.0,42,5,1957.32,3,3,4
3835,17554.0,1,5,1952.45,4,3,4
1708,14653.0,1,7,1947.55,4,4,4
3668,17337.0,151,7,1944.32,1,4,4
1530,14418.0,3,3,1937.25,4,2,4
1570,14472.0,103,8,1936.84,2,4,4
1941,14978.0,72,5,1931.42,2,3,4
1709,14655.0,3,5,1930.15,4,3,4
3724,17406.0,330,5,1928.72,1,3,4
3783,17490.0,0,11,1926.88,4,4,4
1388,14217.0,1,24,1925.36,4,4,4
148,12528.0,9,8,1922.28,4,4,4
686,13246.0,18,7,1922.1,3,4,4
3426,16983.0,12,8,1920.2,4,4,4
271,12674.0,11,7,1919.31,4,4,4
92,12457.0,58,12,1917.78,2,4,4
2345,15518.0,64,13,1911.89,2,4,4
1436,14285.0,21,4,1910.01,3,3,4
3018,16426.0,2,10,1908.25,4,4,4
1522,14409.0,71,7,1908.25,2,4,4
3596,17228.0,15,8,1906.09,4,4,4
2814,16150.0,38,10,1906.07,3,4,4
2574,15819.0,49,4,1905.45,3,3,4
1416,14250.0,7,3,1904.05,4,2,4
3395,16938.0,8,5,1903.13,4,3,4
1381,14210.0,91,7,1900.89,2,4,4
341,12762.0,7,2,1898.52,4,2,4
3397,16942.0,12,10,1894.11,4,4,4
192,12584.0,3,18,1893.95,4,4,4
4065,17870.0,2,13,1889.4,4,4,4
1909,14934.0,72,3,1888.84,2,2,4
21,12371.0,44,2,1887.96,3,2,4
2439,15641.0,105,4,1887.2,2,3,4
404,12853.0,107,9,1881.7,2,4,4
3770,17463.0,16,6,1881.36,4,4,4
2827,16170.0,50,7,1880.42,3,4,4
2796,16128.0,17,5,1880.22,3,3,4
3641,17293.0,8,9,1875.11,4,4,4
3429,16986.0,29,2,1873.2,3,2,4
1964,15021.0,8,13,1872.28,4,4,4
2077,15157.0,3,5,1869.5,4,3,4
2234,15367.0,57,5,1867.69,2,3,4
1613,14524.0,31,9,1867.68,3,4,4
4008,17787.0,152,4,1865.19,1,3,4
3976,17738.0,19,5,1863.35,3,3,4
2223,15351.0,12,10,1862.14,4,4,4
1876,14887.0,79,1,1862.0,2,1,4
1216,13982.0,39,5,1861.11,3,3,4
1153,13890.0,1,14,1860.86,4,4,4
3736,17422.0,16,10,1853.13,4,4,4
61,12423.0,0,9,1849.11,4,4,4
812,13421.0,40,3,1848.98,3,2,4
4292,18180.0,4,6,1843.75,4,4,4
3774,17469.0,16,6,1843.06,4,4,4
473,12950.0,2,3,1843.0,4,2,4
2572,15814.0,3,6,1842.73,4,4,4
3448,17015.0,28,3,1842.56,3,2,4
2772,16102.0,42,3,1842.14,3,2,4
3040,16455.0,63,7,1841.18,2,4,4
481,12963.0,8,9,1841.03,4,4,4
31,12383.0,184,6,1839.31,1,4,4
1387,14216.0,3,4,1839.3,4,3,4
3808,17519.0,17,7,1839.07,3,4,4
1561,14459.0,155,1,1837.92,1,1,4
4371,18287.0,42,3,1837.28,3,2,4
2815,16152.0,268,1,1829.04,1,1,4
2108,15203.0,25,6,1827.8,3,4,4
4249,18122.0,8,6,1826.21,4,4,4
2816,16153.0,49,5,1824.23,3,3,4
2826,16169.0,8,4,1822.97,4,3,4
2851,16201.0,3,5,1821.52,4,3,4
1620,14533.0,24,9,1812.62,3,4,4
3055,16474.0,7,11,1811.47,4,4,4
1029,13725.0,49,11,1809.81,3,4,4
975,13650.0,16,7,1809.34,4,4,4
3423,16979.0,3,8,1809.05,4,4,4
541,13048.0,14,5,1805.91,4,3,4
30,12381.0,4,6,1803.96,4,4,4
1452,14305.0,71,5,1803.76,2,3,4
2570,15812.0,107,5,1801.14,2,3,4
2890,16249.0,52,5,1800.07,2,3,4
914,13562.0,81,3,1799.33,2,2,4
650,13196.0,11,4,1797.78,4,3,4
3983,17750.0,5,9,1797.57,4,4,4
2,12348.0,75,4,1797.24,2,3,4
4335,18235.0,71,3,1796.48,2,2,4
4291,18179.0,9,6,1793.17,4,4,4
3902,17648.0,60,5,1789.55,2,3,4
3914,17663.0,25,9,1788.27,3,4,4
1139,13875.0,53,5,1786.79,2,3,4
879,13510.0,1,5,1785.16,4,3,4
1676,14608.0,4,4,1785.15,4,3,4
1910,14935.0,297,1,1784.71,1,1,4
3888,17629.0,5,9,1784.12,4,4,4
3949,17705.0,3,10,1781.12,4,4,4
2155,15260.0,100,8,1780.77,2,4,4
2984,16380.0,61,1,1780.59,2,1,4
1386,14215.0,11,7,1777.92,4,4,4
3507,17092.0,50,4,1777.78,3,3,4
852,13481.0,45,8,1776.81,3,4,4
3326,16841.0,36,7,1774.62,3,4,4
3228,16719.0,14,8,1773.92,4,4,4
1507,14387.0,32,3,1770.56,3,2,4
3200,16681.0,72,6,1770.34,2,4,4
2610,15864.0,22,8,1769.78,3,4,4
2403,15594.0,15,6,1767.53,4,4,4
1682,14621.0,1,6,1765.76,4,4,4
3253,16751.0,30,1,1764.72,3,1,4
4067,17873.0,80,6,1764.36,2,4,4
62,12424.0,162,2,1760.96,1,2,4
379,12823.0,74,5,1759.5,2,3,4
2122,15220.0,51,7,1758.92,2,4,4
3,12349.0,18,1,1757.55,3,1,4
246,12645.0,33,5,1755.38,3,3,4
1088,13808.0,5,5,1747.66,4,3,4
144,12523.0,1,13,1745.57,4,4,4
2004,15067.0,78,3,1744.76,2,2,4
2466,15674.0,73,8,1744.02,2,4,4
602,13134.0,72,7,1740.63,2,4,4
1668,14595.0,19,6,1740.6,3,4,4
4111,17930.0,35,5,1740.48,3,3,4
3682,17353.0,129,2,1740.0,2,2,4
3985,17754.0,0,6,1739.92,4,4,4
2140,15241.0,66,9,1738.59,2,4,4
835,13456.0,17,7,1737.82,3,4,4
3764,17457.0,126,5,1737.7,2,3,4
1724,14673.0,3,5,1736.4,4,3,4
3468,17043.0,32,4,1735.18,3,3,4
1990,15050.0,25,5,1727.17,3,3,4
621,13157.0,49,5,1721.57,3,3,4
3946,17702.0,30,6,1719.72,3,4,4
2162,15267.0,22,5,1717.36,3,3,4
4025,17813.0,14,7,1714.6,4,4,4
46,12405.0,148,1,1710.39,1,1,4
573,13094.0,21,16,1708.86,3,4,4
2662,15947.0,82,1,1708.24,2,1,4
48,12407.0,49,5,1708.12,3,3,4
3552,17162.0,28,11,1707.21,3,4,4
3366,16902.0,116,1,1706.88,2,1,4
3287,16791.0,29,8,1706.28,3,4,4
2665,15950.0,1,5,1705.26,4,3,4
3633,17282.0,130,3,1703.41,2,2,4
2702,16007.0,47,4,1701.94,3,3,4
1102,13824.0,32,5,1698.94,3,3,4
1838,14834.0,17,8,1698.35,3,4,4
3275,16775.0,10,11,1695.66,4,4,4
343,12764.0,316,1,1693.88,1,1,4
3305,16813.0,8,10,1692.98,4,4,4
3193,16671.0,28,3,1692.27,3,2,4
1060,13763.0,63,3,1689.46,2,2,4
237,12635.0,89,2,1689.18,2,2,4
2139,15240.0,44,7,1685.57,3,4,4
2243,15380.0,8,6,1682.36,4,4,4
1172,13924.0,1,11,1682.08,4,4,4
397,12843.0,65,9,1680.76,2,4,4
3542,17147.0,22,6,1679.64,3,4,4
1412,14245.0,176,5,1677.48,1,3,4
3169,16638.0,22,11,1676.47,3,4,4
616,13149.0,14,4,1676.06,4,3,4
3910,17656.0,73,5,1674.69,2,3,4
3574,17193.0,35,9,1674.46,3,4,4
973,13647.0,9,5,1670.22,4,3,4
2784,16115.0,9,8,1667.97,4,4,4
443,12912.0,2,5,1662.3,4,3,4
2117,15214.0,1,8,1661.44,4,4,4
1967,15024.0,9,10,1661.33,4,4,4
2208,15332.0,366,4,1661.06,1,3,4
1262,14045.0,109,4,1659.75,2,3,4
927,13577.0,25,5,1658.3,3,3,4
2369,15549.0,77,4,1655.76,2,3,4
3220,16711.0,3,5,1651.03,4,3,4
2580,15826.0,51,4,1649.36,2,3,4
3759,17451.0,1,10,1648.95,4,4,4
641,13184.0,14,12,1648.79,4,4,4
1048,13750.0,53,5,1647.26,2,3,4
626,13162.0,122,5,1644.99,2,3,4
1951,15002.0,115,4,1641.76,2,3,4
3634,17284.0,60,7,1641.68,2,4,4
2581,15827.0,73,20,1641.48,2,4,4
1840,14837.0,89,5,1641.2,2,3,4
41,12398.0,45,1,1635.66,3,1,4
2668,15953.0,15,10,1634.53,4,4,4
1352,14164.0,70,2,1631.77,2,2,4
2995,16398.0,144,4,1631.15,1,3,4
26,12377.0,315,2,1628.12,1,2,4
3083,16515.0,52,5,1627.13,2,3,4
1786,14759.0,4,3,1625.97,4,2,4
3430,16987.0,3,7,1625.05,4,4,4
814,13425.0,108,3,1624.21,2,2,4
2087,15172.0,8,5,1624.05,4,3,4
958,13627.0,59,7,1624.02,2,4,4
149,12530.0,59,5,1623.63,2,3,4
3923,17673.0,1,7,1622.22,4,4,4
3513,17101.0,10,4,1621.73,4,3,4
1361,14178.0,8,7,1620.93,4,4,4
1912,14937.0,56,4,1617.63,2,3,4
1472,14336.0,16,4,1614.91,4,3,4
4277,18161.0,10,6,1612.79,4,4,4
2049,15122.0,85,6,1612.13,2,4,4
1457,14312.0,46,6,1611.59,3,4,3
951,13614.0,24,4,1610.46,3,3,3
1900,14918.0,115,2,1610.15,2,2,3
267,12669.0,150,4,1607.73,1,3,3
414,12868.0,185,6,1607.06,1,4,3
2552,15791.0,43,3,1604.44,3,2,3
353,12783.0,2,8,1603.87,4,4,3
1652,14573.0,179,13,1603.72,1,4,3
3049,16466.0,33,7,1603.46,3,4,3
3434,16992.0,10,6,1601.86,4,4,3
4032,17828.0,8,9,1599.97,4,4,3
1662,14587.0,18,10,1598.24,3,4,3
1758,14719.0,1,6,1592.18,4,4,3
1934,14970.0,68,4,1592.06,2,3,3
1120,13850.0,88,2,1586.81,2,2,3
2944,16332.0,28,8,1583.2,3,4,3
37,12393.0,72,4,1582.6,2,3,3
3357,16889.0,194,3,1578.67,1,2,3
963,13634.0,33,5,1575.16,3,3,3
4290,18178.0,113,6,1573.41,2,4,3
2418,15611.0,9,15,1568.39,4,4,3
2039,15111.0,29,3,1567.48,3,2,3
3070,16496.0,8,4,1562.22,4,3,3
1094,13814.0,56,3,1562.12,2,2,3
4338,18239.0,218,5,1561.61,1,3,3
4039,17837.0,42,10,1560.53,3,4,3
3196,16676.0,33,5,1558.72,3,3,3
735,13313.0,22,5,1555.32,3,3,3
3502,17085.0,123,6,1555.05,2,4,3
1257,14038.0,78,4,1554.48,2,3,3
2976,16369.0,18,3,1553.66,3,2,3
2455,15660.0,25,12,1552.01,3,4,3
983,13659.0,197,3,1550.85,1,2,3
2044,15117.0,14,6,1550.13,4,4,3
411,12865.0,26,3,1548.07,3,2,3
1747,14704.0,11,9,1546.91,4,4,3
5,12352.0,36,11,1545.41,3,4,3
1548,14441.0,0,10,1545.14,4,4,3
1549,14442.0,1,5,1544.62,4,3,3
2485,15701.0,2,4,1542.14,4,3,3
2972,16365.0,17,9,1540.42,3,4,3
643,13186.0,39,5,1539.69,3,3,3
797,13397.0,72,6,1539.18,2,4,3
1119,13849.0,51,2,1537.95,2,2,3
421,12877.0,3,12,1535.77,4,4,3
3550,17159.0,21,4,1534.73,3,3,3
2914,16283.0,5,7,1531.51,4,4,3
340,12759.0,52,3,1531.44,2,3,3
1462,14321.0,10,5,1530.75,4,3,3
1648,14567.0,35,3,1524.46,3,3,3
2423,15620.0,50,6,1524.4,3,4,3
583,13107.0,44,5,1524.07,3,3,3
2886,16244.0,211,2,1522.75,1,2,3
3026,16434.0,29,7,1522.25,3,4,3
2749,16066.0,16,5,1521.87,4,3,3
2637,15906.0,19,8,1521.79,3,4,3
1061,13764.0,70,3,1521.76,2,3,3
3286,16790.0,3,8,1520.12,4,4,3
3350,16880.0,30,7,1519.08,3,4,3
661,13213.0,56,6,1518.43,2,4,3
375,12818.0,178,2,1517.88,1,2,3
2358,15532.0,25,6,1517.08,3,4,3
3251,16748.0,17,5,1515.9,3,3,3
2251,15392.0,4,5,1515.73,4,3,3
2739,16053.0,32,2,1511.95,3,2,3
4161,17997.0,74,12,1511.3,2,4,3
3373,16910.0,4,8,1510.06,4,4,3
2160,15265.0,151,2,1506.12,1,2,3
2428,15625.0,100,8,1504.56,2,4,3
462,12937.0,15,4,1504.27,4,3,3
3544,17152.0,194,4,1503.5,1,3,3
2356,15530.0,21,4,1502.35,3,3,3
3263,16762.0,19,3,1501.38,3,3,3
3846,17571.0,50,4,1498.51,3,3,3
2911,16279.0,21,4,1496.68,3,3,3
741,13320.0,70,6,1491.7,2,4,3
2642,15916.0,16,10,1491.24,4,4,3
1995,15057.0,275,2,1489.5,1,2,3
1928,14963.0,9,5,1487.8,4,3,3
3441,17002.0,73,4,1487.78,2,3,3
3834,17553.0,129,1,1487.6,2,1,3
2994,16395.0,60,5,1486.9,2,3,3
1869,14878.0,12,9,1485.54,4,4,3
1527,14414.0,91,8,1485.13,2,4,3
3257,16755.0,114,5,1484.63,2,3,3
1785,14758.0,144,4,1484.06,1,3,3
4174,18016.0,32,5,1483.56,3,3,3
2711,16016.0,3,10,1483.31,4,4,3
2278,15427.0,33,3,1483.14,3,3,3
3860,17590.0,2,3,1479.22,4,3,3
2686,15983.0,22,4,1475.02,3,3,3
1413,14246.0,110,3,1474.06,2,3,3
2956,16348.0,32,7,1469.45,3,4,3
381,12826.0,2,8,1468.12,4,4,3
1003,13692.0,24,5,1466.87,3,3,3
2314,15473.0,14,10,1465.2,4,4,3
425,12882.0,9,2,1463.04,4,2,3
1628,14541.0,58,8,1461.65,2,4,3
2966,16359.0,7,12,1460.37,4,4,3
2744,16059.0,65,6,1459.86,2,4,3
732,13309.0,7,5,1456.79,4,3,3
586,13110.0,31,8,1452.87,3,4,3
2690,15987.0,12,7,1451.28,4,4,3
1398,14229.0,51,5,1450.6,2,3,3
1868,14875.0,9,5,1448.72,4,3,3
1401,14233.0,43,5,1447.51,3,3,3
1664,14591.0,15,4,1447.14,4,3,3
3308,16817.0,2,13,1446.95,4,4,3
3492,17073.0,17,4,1446.09,3,3,3
838,13461.0,38,3,1445.0,3,3,3
850,13477.0,37,8,1441.53,3,4,3
2316,15478.0,40,2,1441.42,3,2,3
2605,15858.0,15,5,1438.85,4,3,3
1518,14404.0,33,7,1434.72,3,4,3
1022,13717.0,32,7,1432.26,3,4,3
1647,14566.0,110,1,1432.0,2,1,3
848,13475.0,191,4,1431.78,1,3,3
3562,17175.0,44,5,1430.94,3,3,3
2277,15426.0,19,7,1429.9,3,4,3
2773,16103.0,7,6,1429.64,4,4,3
1254,14035.0,28,5,1428.02,3,3,3
3436,16996.0,30,9,1427.46,3,4,3
1517,14403.0,130,5,1426.31,2,3,3
2905,16271.0,2,6,1423.29,4,4,3
1773,14740.0,191,4,1423.21,1,3,3
3485,17063.0,8,11,1421.59,4,4,3
3075,16503.0,106,5,1421.43,2,3,3
3637,17288.0,9,7,1419.73,4,4,3
2054,15128.0,60,8,1419.54,2,4,3
2291,15444.0,9,2,1418.26,4,2,3
4243,18116.0,67,8,1418.03,2,4,3
1705,14649.0,4,4,1417.29,4,3,3
2707,16012.0,35,3,1415.29,3,3,3
1887,14901.0,11,10,1414.99,4,4,3
